Tank,Rack/Stick,Box,Location,Line,Passage,Origin,Type,Subtype,Pools,CRISPR EDIT,Genotype,Reprogramming method,Age,Gender,Info,Media,ECM,Date,Initials,Notes,Cell number,Confluency
Tank4_BM1,4,1,1,oikd2,p13,HipSci,iPSC,,,,WT,,,,General Stock,E8,VTN,06.09.2021,FI,,,40.0
Tank4_BM1,4,1,2,oikd2,p13,HipSci,iPSC,,,,WT,,,,General Stock,E8,VTN,06.09.2021,FI,,,40.0
Tank4_BM1,4,1,3,kucg2,p40,HipSci,iPSC,,,,WT,,,,General Stock,E8,VTN,04.09.2021,AS,,,80.0
Tank4_BM1,4,1,4,letw1,p28,HipSci,iPSC,,,,WT,,,,General Stock,E8,VTN,06.09.2021,AS,Not There,,80.0
Tank4_BM1,4,1,5,qeti1,p16,HipSci,iPSC,,,,Kabuki,,,,General Stock,E8,VTN,06.09.2021,FI,,,45.0
Tank4_BM1,4,3,10,oadp4,p27,HipSci,iPSC,,,,Kabuki,,,,General Stock,E8,VTN,04.10.2021,RW,,,
Tank4_BM1,4,3,11,,,,,,,,,,,,,,,,,,,
Tank4_BM1,4,3,16,1496,p17,BSCC,iPSC,NGN2,,,INTS6,,,M,,E8/EDTA,MG,undefined,NJ,NGN2/rtTA MOI=10,,
Tank4_BM1,4,3,17,HEL252.2,p14,BSCC,iPSC,NGN2,,,INTS6 ctrl,,,M,,E8/EDTA,MG,undefined,NJ,NGN2/rtTA MOI=10,,
Tank4_BM1,4,3,18,aask4,p25,HipSci,iPSC,,,,Kabuki,,,,General Stock,E8,VTN,08.10.2021,RL,,,70.0
Tank4_BM1,4,4,23,HEL245.1,p10,BSCC,iPSC,,,,INTS6,Sendai,,F,,E8,MG,undefined,NJ,,,
Tank4_BM1,4,4,24,HEL245.1,p10,BSCC,iPSC,,,,INTS6,Sendai,,F,,E8,MG,undefined,NJ,,,
Tank4_BM1,4,4,25,HEL245.1,p10,BSCC,iPSC,,,,INTS6,Sendai,,F,,E8,MG,undefined,NJ,,,
Tank4_BM1,4,5,1,Pool1_ierp4_a,p6,HipSci,iPSC,,1.0,,WT/Kabuki,,,,Master Stock,E8,VTN,11.10.2021,AS,,,90.0
Tank4_BM1,4,5,2,Pool1_ierp4_b,p6,HipSci,iPSC,,1.0,,WT/Kabuki,,,,Master Stock,E8,VTN,11.10.2021,AS,,,90.0
Tank4_BM1,5,2,2,lise1,p29,HipSci,iPSC,,,,WT,,,,Master Stock,E8,VTN,17.08.2021,AS,,,
Tank4_BM1,5,2,3,sojd3,p31,HipSci,iPSC,,,,WT,,,F,Master Stock,E8,VTN,11.10.2021,RL,,1/2 plate,
Tank4_BM1,5,2,4,kute5,p29,HipSci,,,,,,,,,,,,20.08.2021,FI,,,80.0
Tank4_BM1,5,2,5,suop5,p10,HipSci,iPSC,,,,WT,,,,Master Stock,E8,VTN,19.08.2021,AS,differentiation,,50.0
Tank4_BM1,5,2,6,sojd3,p31,HipSci,iPSC,,,,WT,,,F,Master Stock,E8,VTN,11.10.2021,RL,,1/2 plate,
Tank4_BM1,5,2,7,rayr1,p24,HipSci,,,,,,,,,,,,19.08.2021,AS,,,
Tank4_BM1,5,2,8,rayr1,p25,HipSci,,,,,,,,,,,,22.08.2021,AS,,,70.0
Tank4_BM1,6,5,22,SETD5_Kolf2_C1,p17,Sanger,iPSC,,,1.0,,,,,,E8,VTN,08.08.2023,KGK,,,
Tank4_BM1,6,5,23,KDM6A_Kolf2_C1,p10,Sanger,iPSC,,,1.0,,,,,,E8,VTN,07.08.2023,KGK,,,
Tank4_BM1,6,5,24,oaqd2,p22,HipSci,iPSC,,,,WT,,,,,E8,VTN,07.08.2023,KGK,,,
Tank4_BM1,6,5,25,oaqd2,p22,HipSci,iPSC,,,,WT,,,,,E8,VTN,08.08.2023,KGK,,,
